"T","U:0","U:1","U:2","kappaEff","p_rgh","rhok","Points:0","Points:1","Points:2"
307.07,0.11261,0.0053018,-0.016342,1,0.85391,1,2.4875,0.30909,0.55
304.82,0.11352,0.010121,0.059854,1,0.59741,1,2.5,0.32121,0.7
304.85,0.11757,0.0056113,0.017566,1,0.84575,1,2.4875,0.32121,0.7
306.65,0.11095,0.012816,-0.055948,1,0.61634,1,2.5,0.32121,0.55
306.75,0.11572,0.0065709,-0.016872,1,0.85132,1,2.4875,0.32121,0.55
304.51,0.11586,0.011508,0.060862,1,0.59107,1,2.5,0.33333,0.7
304.53,0.11991,0.0067275,0.017905,1,0.84262,1,2.4875,0.33333,0.7
306.34,0.11372,0.01451,-0.057445,1,0.60829,1,2.5,0.33333,0.55
306.43,0.11837,0.0077734,-0.017328,1,0.84808,1,2.4875,0.33333,0.55
304.2,0.11781,0.012839,0.061623,1,0.58479,1,2.5,0.34545,0.7
304.22,0.12189,0.0077822,0.018175,1,0.83889,1,2.4875,0.34545,0.7
306.03,0.11614,0.016163,-0.058761,1,0.60022,1,2.5,0.34545,0.55
306.11,0.12068,0.0089218,-0.017728,1,0.84428,1,2.4875,0.34545,0.55
303.89,0.11945,0.014135,0.062188,1,0.57846,1,2.5,0.35758,0.7
303.9,0.1236,0.0087877,0.018391,1,0.83459,1,2.4875,0.35758,0.7
305.71,0.11829,0.017796,-0.059946,1,0.59203,1,2.5,0.35758,0.55
305.78,0.12274,0.010028,-0.018087,1,0.83994,1,2.4875,0.35758,0.55
303.58,0.12088,0.015414,0.062604,1,0.57198,1,2.5,0.3697,0.7
303.59,0.12511,0.0097551,0.018569,1,0.82974,1,2.4875,0.3697,0.7
305.38,0.12027,0.019425,-0.061045,1,0.58357,1,2.5,0.3697,0.55
305.46,0.12464,0.011101,-0.018421,1,0.83507,1,2.4875,0.3697,0.55
303.28,0.12217,0.01669,0.062913,1,0.56521,1,2.5,0.38182,0.7
303.29,0.12652,0.010693,0.018721,1,0.82436,1,2.4875,0.38182,0.7
305.06,0.12216,0.021066,-0.062104,1,0.5747,1,2.5,0.38182,0.55
305.13,0.12645,0.01215,-0.018741,1,0.82967,1,2.4875,0.38182,0.55
302.98,0.12341,0.017977,0.063159,1,0.558,1,2.5,0.39394,0.7
302.98,0.12789,0.011608,0.018861,1,0.81841,1,2.4875,0.39394,0.7
304.74,0.12405,0.022727,-0.063165,1,0.56525,1,2.5,0.39394,0.55
304.8,0.12826,0.01318,-0.019063,1,0.82372,1,2.4875,0.39394,0.55
302.68,0.12469,0.019281,0.063387,1,0.55016,1,2.5,0.40606,0.7
302.68,0.12932,0.012503,0.019003,1,0.81188,1,2.4875,0.40606,0.7
304.42,0.12602,0.024414,-0.064275,1,0.555,1,2.5,0.40606,0.55
304.47,0.13015,0.01419,-0.019399,1,0.81717,1,2.4875,0.40606,0.55
302.38,0.1261,0.020609,0.063646,1,0.54149,1,2.5,0.41818,0.7
302.38,0.13088,0.013379,0.019162,1,0.80471,1,2.4875,0.41818,0.7
304.1,0.12818,0.026127,-0.065484,1,0.54373,1,2.5,0.41818,0.55
304.15,0.13221,0.015179,-0.019766,1,0.80997,1,2.4875,0.41818,0.55
302.09,0.12775,0.02196,0.063992,1,0.53173,1,2.5,0.4303,0.7
302.08,0.13268,0.014231,0.019355,1,0.79684,1,2.4875,0.4303,0.7
303.78,0.13062,0.027858,-0.06685,1,0.53118,1,2.5,0.4303,0.55
303.82,0.13455,0.016136,-0.020181,1,0.80207,1,2.4875,0.4303,0.55
301.79,0.12975,0.023329,0.064492,1,0.52059,1,2.5,0.44242,0.7
301.79,0.13483,0.01505,0.019603,1,0.7882,1,2.4875,0.44242,0.7
303.46,0.13347,0.029594,-0.068438,1,0.517,1,2.5,0.44242,0.55
303.5,0.13728,0.017049,-0.020664,1,0.79338,1,2.4875,0.44242,0.55
301.5,0.13226,0.024702,0.065226,1,0.5077,1,2.5,0.45454,0.7
301.5,0.13747,0.015821,0.019931,1,0.7787,1,2.4875,0.45454,0.7
303.14,0.13689,0.03131,-0.070331,1,0.50083,1,2.5,0.45454,0.55
303.18,0.14054,0.017894,-0.02124,1,0.78381,1,2.4875,0.45454,0.55
301.21,0.13545,0.026055,0.06629,1,0.49259,1,2.5,0.46667,0.7
301.21,0.14076,0.016522,0.020367,1,0.76821,1,2.4875,0.46667,0.7
302.82,0.14105,0.032969,-0.072627,1,0.48219,1,2.5,0.46667,0.55
302.86,0.1445,0.01864,-0.021938,1,0.77328,1,2.4875,0.46667,0.55
300.92,0.13955,0.027345,0.067806,1,0.4747,1,2.5,0.47879,0.7
300.92,0.1449,0.017119,0.020949,1,0.7566,1,2.4875,0.47879,0.7
302.49,0.14619,0.034514,-0.07545,1,0.46047,1,2.5,0.47879,0.55
302.54,0.14938,0.019243,-0.022797,1,0.76165,1,2.4875,0.47879,0.55
300.64,0.14483,0.028502,0.069922,1,0.45327,1,2.5,0.49091,0.7
300.64,0.15016,0.017562,0.021721,1,0.74366,1,2.4875,0.49091,0.7
302.17,0.1526,0.035862,-0.078956,1,0.43494,1,2.5,0.49091,0.55
302.21,0.15546,0.019641,-0.023862,1,0.74879,1,2.4875,0.49091,0.55
300.36,0.15165,0.029412,0.072825,1,0.42732,1,2.5,0.50303,0.7
300.36,0.15688,0.017775,0.02274,1,0.72912,1,2.4875,0.50303,0.7
301.85,0.16065,0.036883,-0.083343,1,0.40462,1,2.5,0.50303,0.55
301.9,0.16307,0.019747,-0.025192,1,0.73454,1,2.4875,0.50303,0.55
300.08,0.1605,0.029873,0.076744,1,0.39552,1,2.5,0.51515,0.7
300.09,0.16549,0.017639,0.024074,1,0.71263,1,2.4875,0.51515,0.7
301.53,0.17084,0.037369,-0.088864,1,0.36821,1,2.5,0.51515,0.55
301.58,0.1727,0.019435,-0.026863,1,0.71869,1,2.4875,0.51515,0.55
299.79,0.17204,0.02952,0.081957,1,0.35607,1,2.5,0.52727,0.7
299.82,0.17662,0.016951,0.025805,1,0.69369,1,2.4875,0.52727,0.7
301.21,0.18388,0.036957,-0.095838,1,0.32397,1,2.5,0.52727,0.55
301.27,0.185,0.018505,-0.028965,1,0.70099,1,2.4875,0.52727,0.55
299.51,0.18732,0.027658,0.088777,1,0.30653,1,2.5,0.53939,0.7
299.54,0.19123,0.015352,0.028025,1,0.67165,1,2.4875,0.53939,0.7
300.88,0.20087,0.034974,-0.10466,1,0.26956,1,2.5,0.53939,0.55
300.95,0.20096,0.016622,-0.031614,1,0.68118,1,2.4875,0.53939,0.55
299.22,0.20815,0.022922,0.097495,1,0.24393,1,2.5,0.55151,0.7
299.27,0.21093,0.012155,0.030814,1,0.64583,1,2.4875,0.55151,0.7
300.56,0.22367,0.03012,-0.11577,1,0.20216,1,2.5,0.55151,0.55
300.64,0.22225,0.013182,-0.034943,1,0.6591,1,2.4875,0.55151,0.55
298.94,0.23827,0.01251,0.10822,1,0.164,1,2.5,0.56364,0.7
299,0.23908,0.0059816,0.034157,1,0.61582,1,2.4875,0.56364,0.7
300.23,0.25614,0.019717,-0.12961,1,0.11769,1,2.5,0.56364,0.55
300.33,0.25233,0.007013,-0.039071,1,0.63526,1,2.4875,0.56364,0.55
298.65,0.28746,-0.010742,0.12017,1,0.054015,1,2.5,0.57576,0.7
298.73,0.2846,-0.006273,0.037463,1,0.58169,1,2.4875,0.57576,0.7
299.89,0.30831,-0.0031063,-0.14628,1,0.0040779,1,2.5,0.57576,0.55
300.01,0.30034,-0.0042158,-0.043947,1,0.61283,1,2.4875,0.57576,0.55
298.34,0.39178,-0.068926,0.1262,1,-0.092566,1,2.5,0.58788,0.7
298.44,0.37868,-0.031248,0.035911,1,0.54981,1,2.4875,0.58788,0.7
299.52,0.41692,-0.059826,-0.16157,1,-0.14481,1,2.5,0.58788,0.55
299.67,0.39815,-0.024019,-0.048437,1,0.60135,1,2.4875,0.58788,0.55
297.96,0.66183,-0.15522,0.082354,1,0.12081,1,2.5,0.6,0.7
298.04,0.62014,-0.077353,0.010341,1,0.59368,1,2.4875,0.6,0.7
299.07,0.69465,-0.14367,-0.13948,1,0.06121,1,2.5,0.6,0.55
299.2,0.64748,-0.063095,-0.052382,1,0.58824,1,2.4875,0.6,0.55
308.21,0.024384,-0.00081083,0.00084727,1,0.89512,1,2.475,0.2,0.7
307.99,0.036575,-0.0017263,0.0013876,1,0.89866,1,2.475,0.21212,0.7
308.38,0.0369,-0.0013076,0.0019351,1,0.89712,1,2.475,0.2,0.68846
308.67,0.056866,-0.0020526,0.0034506,1,0.90125,1,2.475,0.2,0.67692
308.9,0.069065,-0.0024772,0.0038344,1,0.90564,1,2.475,0.2,0.66539
309.1,0.076823,-0.0027874,0.0034076,1,0.90976,1,2.475,0.2,0.65385
309.27,0.081522,-0.0030079,0.0024789,1,0.91275,1,2.475,0.2,0.64231
309.42,0.083648,-0.0031115,0.00131,1,0.91465,1,2.475,0.2,0.63077
309.54,0.083323,-0.0030731,3.0808e-05,1,0.91583,1,2.475,0.2,0.61923
309.65,0.080678,-0.0029162,-0.0012394,1,0.9157,1,2.475,0.2,0.60769
309.73,0.07561,-0.0026762,-0.0022903,1,0.914,1,2.475,0.2,0.59615
309.79,0.067544,-0.0023523,-0.0028677,1,0.91118,1,2.475,0.2,0.58461
309.81,0.055205,-0.0019168,-0.0027376,1,0.90786,1,2.475,0.2,0.57308
309.8,0.035542,-0.0011998,-0.0015906,1,0.90431,1,2.475,0.2,0.56154
