"Node Number","Temperature","Points:0","Points:1","Points:2"
6326,180.12,4.98,0.38,0
6327,180.12,4.98,0.37,0
6328,180.12,4.98,0.36,0
6329,180.12,4.98,0.35,0
6330,180.12,4.98,0.34,0
6331,180.12,4.98,0.33,0
6332,180.12,4.98,0.32,0
6333,180.12,4.98,0.31,0
6334,180.12,4.98,0.3,0
6335,180.12,4.98,0.29,0
6336,180.12,4.98,0.28,0
6337,180.12,4.98,0.27,0
6338,180.12,4.98,0.26,0
6339,180.12,4.98,0.25,0
6340,180.12,4.98,0.24,0
6341,180.12,4.98,0.23,0
6342,180.12,4.98,0.22,0
6343,180.12,4.98,0.21,0
6344,180.12,4.98,0.2,0
6345,180.12,4.98,0.19,0
6346,180.12,4.98,0.18,0
6347,180.12,4.98,0.17,0
6348,180.12,4.98,0.16,0
6349,180.12,4.98,0.15,0
6350,180.12,4.98,0.14,0
6351,180.12,4.98,0.13,0
6352,180.12,4.98,0.12,0
6353,180.12,4.98,0.11,0
6354,180.12,4.98,0.1,0
6355,180.12,4.98,0.09,0
6356,180.12,4.98,0.08,0
6357,180.12,4.98,0.07,0
6358,180.12,4.98,0.06,0
6359,180.12,4.98,0.05,0
6360,180.12,4.98,0.04,0
6361,180.12,4.98,0.03,0
6362,180.12,4.98,0.02,0
6363,180.12,4.98,0.01,0
6364,180.12,4.97,0.99,0
6365,180.12,4.97,0.98,0
6366,180.12,4.97,0.97,0
6367,180.12,4.97,0.96,0
6368,180.12,4.97,0.95,0
6369,180.12,4.97,0.94,0
6370,180.12,4.97,0.93,0
6371,180.12,4.97,0.92,0
6372,180.12,4.97,0.91,0
6373,180.12,4.97,0.9,0
6374,180.12,4.97,0.89,0
6375,180.12,4.97,0.88,0
6376,180.12,4.97,0.87,0
6377,180.12,4.97,0.86,0
6378,180.12,4.97,0.85,0
6379,180.12,4.97,0.84,0
6380,180.12,4.97,0.83,0
6381,180.12,4.97,0.82,0
6382,180.12,4.97,0.81,0
6383,180.12,4.97,0.8,0
6384,180.12,4.97,0.79,0
6385,180.12,4.97,0.78,0
6386,180.12,4.97,0.77,0
6387,180.12,4.97,0.76,0
6388,180.12,4.97,0.75,0
6389,180.12,4.97,0.74,0
6390,180.12,4.97,0.73,0
6391,180.12,4.97,0.72,0
6392,180.12,4.97,0.71,0
6393,180.12,4.97,0.7,0
6394,180.12,4.97,0.69,0
6395,180.12,4.97,0.68,0
6396,180.12,4.97,0.67,0
6397,180.12,4.97,0.66,0
6398,180.12,4.97,0.65,0
6399,180.12,4.97,0.64,0
6400,180.12,4.97,0.63,0
6401,180.12,4.97,0.62,0
6402,180.12,4.97,0.61,0
6403,180.12,4.97,0.6,0
6404,180.12,4.97,0.59,0
6405,180.12,4.97,0.58,0
6406,180.12,4.97,0.57,0
6407,180.12,4.97,0.56,0
6408,180.12,4.97,0.55,0
6409,180.12,4.97,0.54,0
6410,180.12,4.97,0.53,0
6411,180.12,4.97,0.52,0
6412,180.12,4.97,0.51,0
6413,180.12,4.97,0.5,0
6414,180.12,4.97,0.49,0
6415,180.12,4.97,0.48,0
6416,180.12,4.97,0.47,0
6417,180.12,4.97,0.46,0
6418,180.12,4.97,0.45,0
6419,180.12,4.97,0.44,0
6420,180.12,4.97,0.43,0
6421,180.12,4.97,0.42,0
6422,180.12,4.97,0.41,0
6423,180.12,4.97,0.4,0
6424,180.12,4.97,0.39,0
6425,180.12,4.97,0.38,0
6426,180.12,4.97,0.37,0
6427,180.12,4.97,0.36,0
6428,180.12,4.97,0.35,0
6429,180.12,4.97,0.34,0
6430,180.12,4.97,0.33,0
6431,180.12,4.97,0.32,0
6432,180.12,4.97,0.31,0
6433,180.12,4.97,0.3,0
6434,180.12,4.97,0.29,0
6435,180.12,4.97,0.28,0
6436,180.12,4.97,0.27,0
6437,180.12,4.97,0.26,0
6438,180.12,4.97,0.25,0
6439,180.12,4.97,0.24,0
6440,180.12,4.97,0.23,0
6441,180.12,4.97,0.22,0
6442,180.12,4.97,0.21,0
6443,180.12,4.97,0.2,0
6444,180.12,4.97,0.19,0
6445,180.12,4.97,0.18,0
6446,180.12,4.97,0.17,0
6447,180.12,4.97,0.16,0
6448,180.12,4.97,0.15,0
6449,180.12,4.97,0.14,0
6450,180.12,4.97,0.13,0
6451,180.12,4.97,0.12,0
6452,180.12,4.97,0.11,0
6453,180.12,4.97,0.1,0
6454,180.12,4.97,0.09,0
6455,180.12,4.97,0.08,0
6456,180.12,4.97,0.07,0
6457,180.12,4.97,0.06,0
6458,180.12,4.97,0.05,0
6459,180.12,4.97,0.04,0
6460,180.12,4.97,0.03,0
6461,180.12,4.97,0.02,0
6462,180.12,4.97,0.01,0
6463,180.12,4.96,0.99,0
6464,180.12,4.96,0.98,0
6465,180.12,4.96,0.97,0
6466,180.12,4.96,0.96,0
6467,180.12,4.96,0.95,0
6468,180.12,4.96,0.94,0
6469,180.12,4.96,0.93,0
6470,180.12,4.96,0.92,0
6471,180.12,4.96,0.91,0
6472,180.12,4.96,0.9,0
6473,180.12,4.96,0.89,0
6474,180.12,4.96,0.88,0
6475,180.12,4.96,0.87,0
6476,180.12,4.96,0.86,0
6477,180.12,4.96,0.85,0
6478,180.12,4.96,0.84,0
6479,180.12,4.96,0.83,0
6480,180.12,4.96,0.82,0
6481,180.12,4.96,0.81,0
6482,180.12,4.96,0.8,0
6483,180.12,4.96,0.79,0
6484,180.12,4.96,0.78,0
6485,180.12,4.96,0.77,0
6486,180.12,4.96,0.76,0
6487,180.12,4.96,0.75,0
6488,180.12,4.96,0.74,0
6489,180.12,4.96,0.73,0
6490,180.12,4.96,0.72,0
6491,180.12,4.96,0.71,0
6492,180.12,4.96,0.7,0
6493,180.12,4.96,0.69,0
6494,180.12,4.96,0.68,0
6495,180.12,4.96,0.67,0
6496,180.12,4.96,0.66,0
6497,180.12,4.96,0.65,0
6498,180.12,4.96,0.64,0
6499,180.12,4.96,0.63,0
6500,180.12,4.96,0.62,0
6501,180.12,4.96,0.61,0
6502,180.12,4.96,0.6,0
6503,180.12,4.96,0.59,0
6504,180.12,4.96,0.58,0
6505,180.12,4.96,0.57,0
6506,180.12,4.96,0.56,0
6507,180.12,4.96,0.55,0
6508,180.12,4.96,0.54,0
6509,180.12,4.96,0.53,0
6510,180.12,4.96,0.52,0
6511,180.12,4.96,0.51,0
6512,180.12,4.96,0.5,0
6513,180.12,4.96,0.49,0
6514,180.12,4.96,0.48,0
6515,180.12,4.96,0.47,0
6516,180.12,4.96,0.46,0
6517,180.12,4.96,0.45,0
6518,180.12,4.96,0.44,0
6519,180.12,4.96,0.43,0
6520,180.12,4.96,0.42,0
6521,180.12,4.96,0.41,0
6522,180.12,4.96,0.4,0
6523,180.12,4.96,0.39,0
6524,180.12,4.96,0.38,0
6525,180.12,4.96,0.37,0
6526,180.12,4.96,0.36,0
6527,180.12,4.96,0.35,0
6528,180.12,4.96,0.34,0
6529,180.12,4.96,0.33,0
6530,180.12,4.96,0.32,0
6531,180.12,4.96,0.31,0
6532,180.12,4.96,0.3,0
6533,180.12,4.96,0.29,0
6534,180.12,4.96,0.28,0
6535,180.12,4.96,0.27,0
6536,180.12,4.96,0.26,0
6537,180.12,4.96,0.25,0
6538,180.12,4.96,0.24,0
6539,180.12,4.96,0.23,0
6540,180.12,4.96,0.22,0
6541,180.12,4.96,0.21,0
6542,180.12,4.96,0.2,0
6543,180.12,4.96,0.19,0
6544,180.12,4.96,0.18,0
6545,180.12,4.96,0.17,0
6546,180.12,4.96,0.16,0
6547,180.12,4.96,0.15,0
6548,180.12,4.96,0.14,0
6549,180.12,4.96,0.13,0
6550,180.12,4.96,0.12,0
6551,180.12,4.96,0.11,0
