"Node Number","Temperature","Points:0","Points:1","Points:2"
1,180.22,1.5,0.6,0
2,180.23,2.5,0.6,0
3,180.23,2.5,0,0
8,180.23,1.5,0,0
5949,180.23,2.49,0.6,0
5950,180.23,2.48,0.6,0
5951,180.23,2.47,0.6,0
5952,180.23,2.46,0.6,0
5953,180.23,2.45,0.6,0
5954,180.23,2.44,0.6,0
5955,180.23,2.43,0.6,0
5956,180.23,2.42,0.6,0
5957,180.23,2.41,0.6,0
5958,180.23,2.4,0.6,0
5959,180.23,2.39,0.6,0
5960,180.23,2.38,0.6,0
5961,180.23,2.37,0.6,0
5962,180.23,2.36,0.6,0
5963,180.23,2.35,0.6,0
5964,180.23,2.34,0.6,0
5965,180.23,2.33,0.6,0
5966,180.23,2.32,0.6,0
5967,180.23,2.31,0.6,0
5968,180.23,2.3,0.6,0
5969,180.23,2.29,0.6,0
5970,180.23,2.28,0.6,0
5971,180.23,2.27,0.6,0
5972,180.23,2.26,0.6,0
5973,180.23,2.25,0.6,0
5974,180.23,2.24,0.6,0
5975,180.23,2.23,0.6,0
5976,180.23,2.22,0.6,0
5977,180.23,2.21,0.6,0
5978,180.23,2.2,0.6,0
5979,180.23,2.19,0.6,0
5980,180.23,2.18,0.6,0
5981,180.23,2.17,0.6,0
5982,180.23,2.16,0.6,0
5983,180.23,2.15,0.6,0
5984,180.23,2.14,0.6,0
5985,180.23,2.13,0.6,0
5986,180.23,2.12,0.6,0
5987,180.23,2.11,0.6,0
5988,180.23,2.1,0.6,0
5989,180.23,2.09,0.6,0
5990,180.23,2.08,0.6,0
5991,180.23,2.07,0.6,0
5992,180.23,2.06,0.6,0
5993,180.23,2.05,0.6,0
5994,180.23,2.04,0.6,0
5995,180.23,2.03,0.6,0
5996,180.23,2.02,0.6,0
5997,180.23,2.01,0.6,0
5998,180.23,2,0.6,0
5999,180.23,1.99,0.6,0
6000,180.23,1.98,0.6,0
6001,180.23,1.97,0.6,0
6002,180.23,1.96,0.6,0
6003,180.23,1.95,0.6,0
6004,180.23,1.94,0.6,0
6005,180.23,1.93,0.6,0
6006,180.23,1.92,0.6,0
6007,180.23,1.91,0.6,0
6008,180.23,1.9,0.6,0
6009,180.23,1.89,0.6,0
6010,180.23,1.88,0.6,0
6011,180.23,1.87,0.6,0
6012,180.23,1.86,0.6,0
6013,180.23,1.85,0.6,0
6014,180.23,1.84,0.6,0
6015,180.23,1.83,0.6,0
6016,180.23,1.82,0.6,0
6017,180.23,1.81,0.6,0
6018,180.23,1.8,0.6,0
6019,180.23,1.79,0.6,0
6020,180.23,1.78,0.6,0
6021,180.23,1.77,0.6,0
6022,180.23,1.76,0.6,0
6023,180.23,1.75,0.6,0
6024,180.23,1.74,0.6,0
6025,180.23,1.73,0.6,0
6026,180.23,1.72,0.6,0
6027,180.23,1.71,0.6,0
6028,180.23,1.7,0.6,0
6029,180.23,1.69,0.6,0
6030,180.23,1.68,0.6,0
6031,180.23,1.67,0.6,0
6032,180.23,1.66,0.6,0
6033,180.23,1.65,0.6,0
6034,180.23,1.64,0.6,0
6035,180.23,1.63,0.6,0
6036,180.23,1.62,0.6,0
6037,180.23,1.61,0.6,0
6038,180.22,1.6,0.6,0
6039,180.22,1.59,0.6,0
6040,180.22,1.58,0.6,0
6041,180.22,1.57,0.6,0
6042,180.22,1.56,0.6,0
6043,180.22,1.55,0.6,0
6044,180.22,1.54,0.6,0
6045,180.22,1.53,0.6,0
6046,180.22,1.52,0.6,0
6047,180.22,1.51,0.6,0
6048,180.23,2.5,0.01,0
6049,180.23,2.5,0.02,0
6050,180.23,2.5,0.03,0
6051,180.23,2.5,0.04,0
6052,180.23,2.5,0.05,0
6053,180.23,2.5,0.06,0
6054,180.23,2.5,0.07,0
6055,180.23,2.5,0.08,0
6056,180.23,2.5,0.09,0
6057,180.23,2.5,0.1,0
6058,180.23,2.5,0.11,0
6059,180.23,2.5,0.12,0
6060,180.23,2.5,0.13,0
6061,180.23,2.5,0.14,0
6062,180.23,2.5,0.15,0
6063,180.23,2.5,0.16,0
6064,180.23,2.5,0.17,0
6065,180.23,2.5,0.18,0
6066,180.23,2.5,0.19,0
6067,180.23,2.5,0.2,0
6068,180.23,2.5,0.21,0
6069,180.23,2.5,0.22,0
6070,180.23,2.5,0.23,0
6071,180.23,2.5,0.24,0
6072,180.23,2.5,0.25,0
6073,180.23,2.5,0.26,0
6074,180.23,2.5,0.27,0
6075,180.23,2.5,0.28,0
6076,180.23,2.5,0.29,0
6077,180.23,2.5,0.3,0
6078,180.23,2.5,0.31,0
6079,180.23,2.5,0.32,0
6080,180.23,2.5,0.33,0
6081,180.23,2.5,0.34,0
6082,180.23,2.5,0.35,0
6083,180.23,2.5,0.36,0
6084,180.23,2.5,0.37,0
6085,180.23,2.5,0.38,0
6086,180.23,2.5,0.39,0
6087,180.23,2.5,0.4,0
6088,180.23,2.5,0.41,0
6089,180.23,2.5,0.42,0
6090,180.23,2.5,0.43,0
6091,180.23,2.5,0.44,0
6092,180.23,2.5,0.45,0
6093,180.23,2.5,0.46,0
6094,180.23,2.5,0.47,0
